date,name
06-09-2010,Lailat-ul-Qadr
08-09-2010,Lailat-ul-Qadr
10-09-2010,Eid-ul-Fitr
15-11-2010,Hajj
16-11-2010,Hajj
17-11-2010,Eid-ul-Adha
18-11-2010,Hajj
19-11-2010,Hajj
20-11-2010,Hajj
17-12-2010,Ashura
16-02-2011,Mawlid al-Nabi
29-06-2011,Lailat-ul-Miraj
17-07-2011,Lailat-ul-Bara'at
01-08-2011,1st Day of Ramadan
21-08-2011,Lailat-ul-Qadr
23-08-2011,Lailat-ul-Qadr
25-08-2011,Lailat-ul-Qadr
27-08-2011,Lailat-ul-Qadr
29-08-2011,Lailat-ul-Qadr
31-08-2011,Eid-ul-Fitr
05-11-2011,Hajj
06-11-2011,Hajj
07-11-2011,Eid-ul-Adha
08-11-2011,Hajj
09-11-2011,Hajj
10-11-2011,Hajj
06-12-2011,Ashura
05-02-2012,Mawlid al-Nabi
17-06-2012,Lailat-ul-Miraj
05-07-2012,Lailat-ul-Bara'at
20-07-2012,1st Day of Ramadan
09-08-2012,Lailat-ul-Qadr
11-08-2012,Lailat-ul-Qadr
13-08-2012,Lailat-ul-Qadr
15-08-2012,Lailat-ul-Qadr
17-08-2012,Lailat-ul-Qadr
19-08-2012,Eid-ul-Fitr
24-10-2012,Hajj
25-10-2012,Hajj
26-10-2012,Eid-ul-Adha
27-10-2012,Hajj
28-10-2012,Hajj
29-10-2012,Hajj
24-11-2012,Ashura
24-01-2013,Mawlid al-Nabi
06-06-2013,Lailat-ul-Miraj
24-06-2013,Lailat-ul-Bara'at
09-07-2013,1st Day of Ramadan
29-07-2013,Lailat-ul-Qadr
31-07-2013,Lailat-ul-Qadr
02-08-2013,Lailat-ul-Qadr
04-08-2013,Lailat-ul-Qadr
06-08-2013,Lailat-ul-Qadr
08-08-2013,Eid-ul-Fitr
13-10-2013,Hajj
14-10-2013,Hajj
15-10-2013,Eid-ul-Adha
16-10-2013,Hajj
17-10-2013,Hajj
18-10-2013,Hajj
14-11-2013,Ashura
14-01-2014,Mawlid al-Nabi
27-05-2014,Lailat-ul-Miraj
14-06-2014,Lailat-ul-Bara'at
29-06-2014,1st Day of Ramadan
19-07-2014,Lailat-ul-Qadr
21-07-2014,Lailat-ul-Qadr
23-07-2014,Lailat-ul-Qadr
25-07-2014,Lailat-ul-Qadr
27-07-2014,Lailat-ul-Qadr
